Player,Opponent,Player_Score,Opponent_Score,Result,Table Points,Gameweek,GW Rank,Luck Points
Dove,Tim,39,50,Lose,0,1,9.0,0
Tim,Dove,50,39,Win,3,1,2.0,3
Nick,Sam,49,41,Win,3,1,3.0,3
Sam,Nick,41,49,Lose,0,1,6.0,1
John,Mikey,40,47,Lose,0,1,8.0,0
Mikey,John,47,40,Win,3,1,4.0,3
Mike,Matt,43,34,Win,3,1,5.0,1
Matt,Mike,34,43,Lose,0,1,10.0,0
Andy,Karl,55,41,Win,3,1,1.0,3
Karl,Andy,41,55,Lose,0,1,6.0,1
Dove,Sam,44,59,Lose,0,2,8.0,0
Sam,Dove,59,44,Win,3,2,1.0,3
Tim,Mikey,44,46,Lose,0,2,8.0,0
Mikey,Tim,46,44,Win,3,2,5.0,1
Nick,Matt,29,52,Lose,0,2,10.0,0
Matt,Nick,52,29,Win,3,2,3.0,3
John,Karl,50,46,Win,3,2,4.0,3
Karl,John,46,50,Lose,0,2,5.0,1
Mike,Andy,57,46,Win,3,2,2.0,3
Andy,Mike,46,57,Lose,0,2,5.0,1
Dove,Mikey,34,38,Lose,0,3,5.0,1
Mikey,Dove,38,34,Win,3,3,4.0,3
Sam,Matt,34,28,Win,3,3,5.0,1
Matt,Sam,28,34,Lose,0,3,9.0,0
Tim,Karl,39,60,Lose,0,3,3.0,3
Karl,Tim,60,39,Win,3,3,1.0,3
Nick,Andy,33,44,Lose,0,3,8.0,0
Andy,Nick,44,33,Win,3,3,2.0,3
John,Mike,17,34,Lose,0,3,10.0,0
Mike,John,34,17,Win,3,3,5.0,1
Dove,Matt,44,52,Lose,0,4,6.0,1
Matt,Dove,52,44,Win,3,4,2.0,3
Mikey,Karl,27,52,Lose,0,4,9.0,0
Karl,Mikey,52,27,Win,3,4,2.0,3
Sam,Andy,47,25,Win,3,4,5.0,1
Andy,Sam,25,47,Lose,0,4,10.0,0
Tim,Mike,34,56,Lose,0,4,8.0,0
Mike,Tim,56,34,Win,3,4,1.0,3
Nick,John,41,51,Lose,0,4,7.0,0
John,Nick,51,41,Win,3,4,4.0,3
Dove,Karl,46,40,Win,3,5,3.0,3
Karl,Dove,40,46,Lose,0,5,5.0,1
Matt,Andy,36,40,Lose,0,5,9.0,0
Andy,Matt,40,36,Win,3,5,5.0,1
Mikey,Mike,52,50,Win,3,5,1.0,3
Mike,Mikey,50,52,Lose,0,5,2.0,3
Sam,John,38,41,Lose,0,5,7.0,0
John,Sam,41,38,Win,3,5,4.0,3
Tim,Nick,32,38,Lose,0,5,10.0,0
Nick,Tim,38,32,Win,3,5,7.0,0
Dove,Andy,27,37,Lose,0,6,8.0,0
Andy,Dove,37,27,Win,3,6,5.0,1
Karl,Mike,27,54,Lose,0,6,8.0,0
Mike,Karl,54,27,Win,3,6,2.0,3
Matt,John,60,23,Win,3,6,1.0,3
John,Matt,23,60,Lose,0,6,10.0,0
Mikey,Nick,43,36,Win,3,6,3.0,3
Nick,Mikey,36,43,Lose,0,6,6.0,1
Sam,Tim,40,34,Win,3,6,4.0,3
Tim,Sam,34,40,Lose,0,6,7.0,0
Dove,Mike,58,58,Draw,1,7,1.0,3
Mike,Dove,58,58,Draw,1,7,1.0,3
Andy,John,42,35,Win,3,7,6.0,1
John,Andy,35,42,Lose,0,7,9.0,0
Karl,Nick,36,53,Lose,0,7,8.0,0
Nick,Karl,53,36,Win,3,7,3.0,3
Matt,Tim,29,47,Lose,0,7,10.0,0
Tim,Matt,47,29,Win,3,7,4.0,3
Mikey,Sam,40,47,Lose,0,7,7.0,0
Sam,Mikey,47,40,Win,3,7,4.0,3
Dove,John,42,45,Lose,0,8,3.0,3
John,Dove,45,42,Win,3,8,1.0,3
Mike,Nick,26,42,Lose,0,8,10.0,0
Nick,Mike,42,26,Win,3,8,3.0,3
Andy,Tim,42,45,Lose,0,8,3.0,3
Tim,Andy,45,42,Win,3,8,1.0,3
Karl,Sam,37,28,Win,3,8,8.0,0
Sam,Karl,28,37,Lose,0,8,9.0,0
Matt,Mikey,39,41,Lose,0,8,7.0,0
Mikey,Matt,41,39,Win,3,8,6.0,1
Dove,Nick,45,46,Lose,0,9,4.0,3
Nick,Dove,46,45,Win,3,9,3.0,3
John,Tim,27,38,Lose,0,9,9.0,0
Tim,John,38,27,Win,3,9,6.0,1
Mike,Sam,24,30,Lose,0,9,10.0,0
Sam,Mike,30,24,Win,3,9,8.0,0
Andy,Mikey,49,31,Win,3,9,2.0,3
Mikey,Andy,31,49,Lose,0,9,7.0,0
Karl,Matt,39,67,Lose,0,9,5.0,1
Matt,Karl,67,39,Win,3,9,1.0,3
Nick,Andy,40,38,Win,3,10,5.0,1
Andy,Nick,38,40,Lose,0,10,6.0,1
Mikey,Mike,50,34,Win,3,10,1.0,3
Mike,Mikey,34,50,Lose,0,10,8.0,0
John,Dove,30,17,Win,3,10,9.0,0
Dove,John,17,30,Lose,0,10,10.0,0
Karl,Sam,35,42,Lose,0,10,7.0,0
Sam,Karl,42,35,Win,3,10,4.0,3
Tim,Matt,48,48,Draw,1,10,2.0,3
Matt,Tim,48,48,Draw,1,10,2.0,3
Nick,Mike,51,29,Win,3,11,3.0,3
Mike,Nick,29,51,Lose,0,11,9.0,0
Andy,Dove,44,49,Lose,0,11,5.0,1
Dove,Andy,49,44,Win,3,11,4.0,3
Mikey,Sam,44,58,Lose,0,11,5.0,1
Sam,Mikey,58,44,Win,3,11,2.0,3
John,Matt,19,35,Lose,0,11,10.0,0
Matt,John,35,19,Win,3,11,8.0,0
Karl,Tim,44,62,Lose,0,11,5.0,1
Tim,Karl,62,44,Win,3,11,1.0,3
Nick,Dove,21,46,Lose,0,12,10.0,0
Dove,Nick,46,21,Win,3,12,3.0,3
Mike,Sam,38,36,Win,3,12,7.0,0
Sam,Mike,36,38,Lose,0,12,8.0,0
Andy,Matt,44,51,Lose,0,12,4.0,3
Matt,Andy,51,44,Win,3,12,2.0,3
Mikey,Tim,31,65,Lose,0,12,9.0,0
Tim,Mikey,65,31,Win,3,12,1.0,3
John,Karl,39,39,Draw,1,12,5.0,1
Karl,John,39,39,Draw,1,12,5.0,1
Nick,Sam,46,35,Win,3,13,3.0,3
Sam,Nick,35,46,Lose,0,13,8.0,0
Dove,Matt,40,46,Lose,0,13,6.0,1
Matt,Dove,46,40,Win,3,13,3.0,3
Mike,Tim,32,45,Lose,0,13,10.0,0
Tim,Mike,45,32,Win,3,13,5.0,1
Andy,Karl,87,34,Win,3,13,1.0,3
Karl,Andy,34,87,Lose,0,13,9.0,0
Mikey,John,36,49,Lose,0,13,7.0,0
John,Mikey,49,36,Win,3,13,2.0,3
Nick,Matt,48,58,Lose,0,14,3.0,3
Matt,Nick,58,48,Win,3,14,2.0,3
Sam,Tim,43,35,Win,3,14,5.0,1
Tim,Sam,35,43,Lose,0,14,8.0,0
Dove,Karl,66,40,Win,3,14,1.0,3
Karl,Dove,40,66,Lose,0,14,6.0,1
Mike,John,27,18,Win,3,14,9.0,0
John,Mike,18,27,Lose,0,14,10.0,0
Andy,Mikey,48,36,Win,3,14,3.0,3
Mikey,Andy,36,48,Lose,0,14,7.0,0
Nick,Tim,38,48,Lose,0,15,5.0,1
Tim,Nick,48,38,Win,3,15,1.0,3
Matt,Karl,47,47,Draw,1,15,2.0,3
Karl,Matt,47,47,Draw,1,15,2.0,3
Sam,John,22,37,Lose,0,15,10.0,0
John,Sam,37,22,Win,3,15,6.0,1
Dove,Mikey,29,29,Draw,1,15,8.0,0
Mikey,Dove,29,29,Draw,1,15,8.0,0
Mike,Andy,39,35,Win,3,15,4.0,3
Andy,Mike,35,39,Lose,0,15,7.0,0
Nick,Karl,50,29,Win,3,16,3.0,3
Karl,Nick,29,50,Lose,0,16,8.0,0
Tim,John,52,37,Win,3,16,2.0,3
John,Tim,37,52,Lose,0,16,7.0,0
Matt,Mikey,38,38,Draw,1,16,5.0,1
Mikey,Matt,38,38,Draw,1,16,5.0,1
Sam,Andy,25,39,Lose,0,16,9.0,0
Andy,Sam,39,25,Win,3,16,4.0,3
Dove,Mike,53,19,Win,3,16,1.0,3
Mike,Dove,19,53,Lose,0,16,10.0,0
Nick,John,64,16,Win,3,17,2.0,3
John,Nick,16,64,Lose,0,17,10.0,0
Karl,Mikey,44,93,Lose,0,17,7.0,0
Mikey,Karl,93,44,Win,3,17,1.0,3
Tim,Andy,55,46,Win,3,17,4.0,3
Andy,Tim,46,55,Lose,0,17,6.0,1
Matt,Mike,36,51,Lose,0,17,8.0,0
Mike,Matt,51,36,Win,3,17,5.0,1
Sam,Dove,61,33,Win,3,17,3.0,3
Dove,Sam,33,61,Lose,0,17,9.0,0
Nick,Mikey,37,26,Win,3,18,7.0,0
Mikey,Nick,26,37,Lose,0,18,9.0,0
John,Andy,39,36,Win,3,18,5.0,1
Andy,John,36,39,Lose,0,18,8.0,0
Karl,Mike,24,38,Lose,0,18,10.0,0
Mike,Karl,38,24,Win,3,18,6.0,1
Tim,Dove,41,49,Lose,0,18,4.0,3
Dove,Tim,49,41,Win,3,18,2.0,3
Matt,Sam,55,44,Win,3,18,1.0,3
Sam,Matt,44,55,Lose,0,18,3.0,3
Matt,Sam,30,36,Lose,0,19,8.0,0
Sam,Matt,36,30,Win,3,19,7.0,0
Tim,Nick,52,52,Draw,1,19,4.0,3
Nick,Tim,52,52,Draw,1,19,4.0,3
Karl,Mikey,48,63,Lose,0,19,6.0,1
Mikey,Karl,63,48,Win,3,19,2.0,3
Andy,John,73,20,Win,3,19,1.0,3
John,Andy,20,73,Lose,0,19,10.0,0
Mike,Dove,62,27,Win,3,19,3.0,3
Dove,Mike,27,62,Lose,0,19,9.0,0
Matt,Nick,48,58,Lose,0,20,4.0,3
Nick,Matt,58,48,Win,3,20,2.0,3
Sam,Mikey,31,35,Lose,0,20,9.0,0
Mikey,Sam,35,31,Win,3,20,8.0,0
Tim,John,60,28,Win,3,20,1.0,3
John,Tim,28,60,Lose,0,20,10.0,0
Karl,Dove,58,42,Win,3,20,2.0,3
Dove,Karl,42,58,Lose,0,20,6.0,1
Andy,Mike,46,37,Win,3,20,5.0,1
Mike,Andy,37,46,Lose,0,20,7.0,0
Matt,Mikey,66,55,Win,3,21,1.0,3
Mikey,Matt,55,66,Lose,0,21,4.0,3
Nick,John,39,34,Win,3,21,7.0,0
John,Nick,34,39,Lose,0,21,8.0,0
Sam,Dove,56,32,Win,3,21,3.0,3
Dove,Sam,32,56,Lose,0,21,10.0,0
Tim,Mike,50,34,Win,3,21,5.0,1
Mike,Tim,34,50,Lose,0,21,8.0,0
Karl,Andy,40,64,Lose,0,21,6.0,1
Andy,Karl,64,40,Win,3,21,2.0,3
Matt,John,48,28,Win,3,22,6.0,1
John,Matt,28,48,Lose,0,22,9.0,0
Mikey,Dove,62,62,Draw,1,22,1.0,3
Dove,Mikey,62,62,Draw,1,22,1.0,3
Nick,Mike,55,55,Draw,1,22,4.0,3
Mike,Nick,55,55,Draw,1,22,4.0,3
Sam,Andy,47,60,Lose,0,22,7.0,0
Andy,Sam,60,47,Win,3,22,3.0,3
Tim,Karl,27,39,Lose,0,22,10.0,0
Karl,Tim,39,27,Win,3,22,8.0,0
Matt,Dove,41,61,Lose,0,23,6.0,1
Dove,Matt,61,41,Win,3,23,1.0,3
John,Mike,55,31,Win,3,23,3.0,3
Mike,John,31,55,Lose,0,23,9.0,0
