Player,1,2,3,4,5,6,7,8,9,10
John,46.5,23.4,13.6,8.1,4.2,3.0,1.0,0.1,0.1,0.0
Dove,28.3,25.0,19.1,12.0,8.7,4.0,1.9,0.6,0.4,0.0
Andy,10.0,16.6,18.4,18.2,14.8,11.3,7.3,2.2,1.0,0.2
Sam,6.3,11.1,16.2,17.4,17.3,13.7,10.5,5.8,1.3,0.4
Mike,5.4,14.0,16.0,20.4,17.5,12.1,8.3,4.8,1.1,0.4
Karl,2.0,5.2,9.2,9.7,16.8,21.2,20.1,9.5,5.1,1.2
Mikey,1.3,4.2,6.2,10.8,14.1,20.5,23.2,11.6,6.0,2.1
Nick,0.2,0.1,0.4,0.9,2.0,6.0,11.2,27.2,31.9,20.1
Matt,0.0,0.3,0.9,2.3,4.1,6.6,11.9,24.4,28.7,20.8
Tim,0.0,0.1,0.0,0.2,0.5,1.6,4.6,13.8,24.4,54.8
