Player,Table Points,Player_Score,Rank,Simulation
Matt,59,1594.0,1,0
Andy,58,1577.0,2,0
Mikey,55,1458.0,3,0
Nick,54,1489.0,4,0
Mike,53,1377.0,5,0
John,53,1324.0,6,0
Tim,52,1514.0,7,0
Sam,52,1416.0,8,0
Karl,50,1445.0,9,0
Dove,46,1538.0,10,0
Tim,62,1593.0,1,1
Matt,60,1551.0,2,1
Mikey,58,1487.0,3,1
Mike,58,1485.0,4,1
Andy,55,1635.0,5,1
Nick,54,1507.0,6,1
John,50,1280.0,7,1
Sam,48,1454.0,8,1
Karl,47,1503.0,9,1
Dove,41,1577.0,10,1
Nick,65,1526.0,1,2
Matt,59,1570.0,2,2
Tim,59,1538.0,3,2
Mike,58,1433.0,4,2
Dove,57,1499.0,5,2
Mikey,52,1457.0,6,2
Andy,48,1606.0,7,2
Sam,46,1381.0,8,2
Karl,45,1554.0,9,2
John,40,1281.0,10,2
Andy,69,1558.0,1,3
Tim,65,1638.0,2,3
Matt,60,1597.0,3,3
Dove,56,1449.0,4,3
Sam,54,1412.0,5,3
Karl,53,1531.0,6,3
Mikey,49,1451.0,7,3
Nick,45,1372.0,8,3
John,43,1290.0,9,3
Mike,40,1343.0,10,3
Sam,64,1494.0,1,4
Matt,62,1605.0,2,4
Mikey,58,1493.0,3,4
Tim,58,1482.0,4,4
Andy,54,1600.0,5,4
Dove,53,1562.0,6,4
Mike,49,1402.0,7,4
John,47,1302.0,8,4
Nick,46,1517.0,9,4
Karl,42,1512.0,10,4
Tim,62,1577.0,1,5
Sam,62,1515.0,2,5
Mikey,61,1542.0,3,5
Andy,60,1506.0,4,5
Mike,56,1435.0,5,5
Matt,51,1618.0,6,5
Nick,51,1418.0,7,5
John,47,1356.0,8,5
Dove,44,1526.0,9,5
Karl,38,1478.0,10,5
Matt,71,1642.0,1,6
Tim,61,1527.0,2,6
Andy,60,1613.0,3,6
Nick,52,1520.0,4,6
Mike,52,1408.0,5,6
Karl,50,1516.0,6,6
Mikey,50,1467.0,7,6
Sam,49,1401.0,8,6
Dove,47,1469.0,9,6
John,41,1311.0,10,6
Matt,65,1622.0,1,7
Tim,61,1628.0,2,7
Sam,60,1507.0,3,7
Andy,57,1645.0,4,7
Nick,57,1487.0,5,7
Mike,56,1390.0,6,7
Dove,50,1514.0,7,7
Mikey,50,1376.0,8,7
John,40,1246.0,9,7
Karl,38,1471.0,10,7
Andy,63,1651.0,1,8
Sam,60,1476.0,2,8
Mike,59,1483.0,3,8
Nick,58,1443.0,4,8
Tim,57,1611.0,5,8
Matt,54,1641.0,6,8
Mikey,49,1467.0,7,8
John,49,1375.0,8,8
Karl,47,1511.0,9,8
Dove,35,1371.0,10,8
Matt,68,1644.0,1,9
Sam,68,1484.0,2,9
Nick,63,1472.0,3,9
Tim,62,1661.0,4,9
Mike,50,1434.0,5,9
Andy,48,1564.0,6,9
John,47,1340.0,7,9
Dove,45,1493.0,8,9
Mikey,41,1392.0,9,9
Karl,39,1480.0,10,9
Tim,67,1550.0,1,10
Mike,62,1525.0,2,10
Mikey,61,1485.0,3,10
Andy,60,1596.0,4,10
Sam,60,1489.0,5,10
Matt,50,1556.0,6,10
Nick,50,1478.0,7,10
John,50,1347.0,8,10
Karl,38,1473.0,9,10
Dove,33,1377.0,10,10
Tim,69,1580.0,1,11
Sam,60,1451.0,2,11
Andy,54,1541.0,3,11
Mike,52,1433.0,4,11
John,52,1280.0,5,11
Matt,51,1509.0,6,11
Nick,51,1497.0,7,11
Dove,50,1501.0,8,11
Mikey,49,1414.0,9,11
Karl,45,1460.0,10,11
Tim,65,1568.0,1,12
Andy,58,1515.0,2,12
Nick,57,1576.0,3,12
Mike,57,1399.0,4,12
Matt,56,1553.0,5,12
Mikey,56,1474.0,6,12
Sam,54,1464.0,7,12
John,48,1264.0,8,12
Dove,45,1474.0,9,12
Karl,34,1446.0,10,12
Andy,73,1633.0,1,13
Matt,65,1595.0,2,13
Tim,58,1648.0,3,13
Sam,55,1461.0,4,13
Mike,53,1464.0,5,13
Nick,51,1409.0,6,13
Dove,48,1498.0,7,13
Mikey,46,1493.0,8,13
John,43,1324.0,9,13
Karl,41,1499.0,10,13
